--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
delta, abs_delta, voltage, pwm_delta
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 438, 438, 328, 17, 344
-24, 24, -18, 479, 59
44, 44, 33, 411, 92
96, 96, 72, 359, 164
112, 112, 84, 343, 248
68, 68, 51, 387, 299
-9, 9, -2, 464, 297
-80, 80, -60, 535, 237
-108, 108, -81, 563, 156
-93, 93, -69, 548, 87
-53, 53, -39, 508, 48
14, 14, 2, 441, 50
77, 77, 57, 378, 107
125, 125, 93, 330, 200
115, 115, 86, 340, 286
35, 35, 26, 420, 312
-51, 51, -38, 506, 274
-100, 100, -75, 555, 199
-110, 110, -82, 565, 117
-75, 75, -56, 530, 61
-24, 24, -18, 479, 43
51, 51, 38, 404, 81
107, 107, 80, 348, 161
126, 126, 94, 329, 255
75, 75, 56, 380, 311
-11, 11, -2, 466, 309
-89, 89, -66, 544, 243
-116, 116, -87, 571, 156
-101, 101, -75, 556, 81
-58, 58, -43, 513, 38
14, 14, 2, 441, 40
80, 80, 60, 375, 100
129, 129, 96, 326, 196
123, 123, 92, 332, 288
41, 41, 30, 414, 318
-50, 50, -37, 505, 281
-91, 91, -68, 546, 213
-114, 114, -85, 569, 128
-84, 84, -63, 539, 65
-37, 37, -27, 492, 38
40, 40, 30, 415, 68
100, 100, 75, 355, 143
130, 130, 97, 325, 240
90, 90, 67, 365, 307
6, 6, 2, 449, 309
-69, 69, -51, 524, 258
-106, 106, -79, 561, 179
-106, 106, -79, 561, 100
-62, 62, -46, 517, 54
-5, 5, -2, 460, 52
59, 59, 44, 396, 96
113, 113, 84, 342, 180
120, 120, 90, 335, 270
66, 66, 49, 389, 319
-36, 36, -27, 491, 292
-102, 102, -76, 557, 216
-116, 116, -87, 571, 129
-88, 88, -66, 543, 63
-41, 41, -30, 496, 33
38, 38, 28, 417, 61
99, 99, 74, 356, 135
131, 131, 98, 324, 233
97, 97, 72, 358, 305
14, 14, 2, 441, 307
-68, 68, -51, 523, 256
-106, 106, -79, 561, 177
-104, 104, -78, 559, 99
-67, 67, -50, 522, 49
-4, 4, -2, 459, 47
62, 62, 46, 393, 93
112, 112, 84, 343, 177
120, 120, 90, 335, 267
60, 60, 45, 395, 312
-26, 26, -19, 481, 293
-94, 94, -70, 549, 223
-119, 119, -89, 574, 134
-94, 94, -70, 549, 64
-43, 43, -32, 498, 32
32, 32, 24, 423, 56
99, 99, 74, 356, 130
133, 133, 99, 322, 229
104, 104, 78, 351, 307
8, 8, 2, 447, 309
-59, 59, -44, 514, 265
-109, 109, -81, 564, 184
-112, 112, -84, 567, 100
-71, 71, -53, 526, 47
-8, 8, -2, 463, 45
59, 59, 44, 396, 89
111, 111, 83, 344, 172
122, 122, 91, 333, 263
65, 65, 48, 390, 311
-21, 21, -15, 476, 296
-91, 91, -68, 546, 228
-119, 119, -89, 574, 139
-97, 97, -72, 552, 67
-47, 47, -35, 502, 32
27, 27, 20, 428, 52
95, 95, 71, 360, 123
134, 134, 100, 321, 223
106, 106, 79, 349, 302
20, 20, 2, 435, 
