--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
voltage, v_delta, correction, OCR1A
378, 77, -66114, 0, 3, 41
376, 79, -63981, 0, 3, 44
373, 82, -61603, 0, 3, 47
370, 85, -59223, 0, 3, 50
367, 88, -56847, 0, 3, 53
365, 90, -54237, 0, 3, 56
362, 93, -51633, 0, 3, 59
360, 95, -48973, 0, 3, 62
358, 97, -46257, 0, 3, 65
355, 100, -43357, 0, 4, 68
353, 102, -40501, 0, 4, 72
351, 104, -37485, 0, 4, 76
349, 106, -34305, 0, 4, 80
348, 107, -31309, 0, 4, 84
347, 108, -28069, 0, 4, 88
346, 109, -24908, 0, 4, 92
345, 110, -21718, 0, 4, 96
345, 110, -18528, 0, 4, 100
345, 110, -15228, 0, 4, 104
346, 109, -11849, 138547332, 2770950, 108
345, 110, -6899, 0, 4, 114
350, 105, -3959, 153391688, 3067837, 118
351, 104, 617, 97612893, 1952262, 51
341, 114, 5063, 0, 4, 57
340, 115, 8283, 0, 4, 61
338, 117, 11325, 0, 4, 65
335, 120, 14805, 0, 4, 69
334, 121, 18193, 0, 4, 73
332, 123, 21514, 0, 4, 77
331, 124, 25110, 0, 4, 81
330, 125, 28610, 0, 5, 85
330, 125, 32110, 0, 5, 90
329, 126, 35638, 0, 5, 95
330, 125, 39138, 153391689, 3067838, 100
330, 125, 44638, 0, 5, 34
324, 131, 48306, 0, 5, 39
322, 133, 52030, 0, 5, 44
319, 136, 55838, 0, 5, 49
317, 138, 59702, 0, 5, 54
315, 140, 63622, 0, 5, 59
313, 142, 67740, 0, 5, 64
311, 144, 71628, 0, 5, 69
310, 145, 75688, 0, 5, 74
309, 146, 79922, 0, 5, 79
309, 146, 83864, 0, 5, 84
308, 147, 88127, 0, 5, 89
309, 146, 92215, 153391689, 3067839, 94
309, 146, 98493, 0, 5, 29
304, 151, 102570, 0, 6, 34
301, 154, 107190, 0, 6, 40
299, 156, 111714, 0, 6, 46
298, 157, 116267, 0, 6, 52
294, 161, 120936, 0, 6, 58
294, 161, 125605, 0, 6, 64
292, 163, 130332, 0, 6, 70
291, 164, 135088, 0, 6, 76
291, 164, 140008, 0, 6, 82
291, 164, 144600, 0, 6, 88
291, 164, 149520, 0, 6, 94
293, 162, 154218, 148102320, 2962052, 100
294, 161, 161463, 95443717, 1908880, 232
334, 121, 166666, 99882959, 1997664, 376
402, 53, 168998, 97612891, 1952259, 216
390, 65, 171793, 0, 2, 219
399, 56, 173417, 148102320, 2962048, 221
412, 43, 175309, 97612892, 1952259, 349
457, -2, 175225, 102261125, 2045222, 352
484, -29, 173949, 97612892, 1952256, 134
454, 1, 173993, 0, 0, 134
455, 0, 173993, 159072862, 3181457, 134
452, 3, 174122, 0, 0, 23
442, 13, 174473, 0, 0, 23
438, 17, 174966, 0, 0, 23
434, 21, 175533, 0, 0, 23
431, 24, 176205, 0, 0, 23
427, 28, 177017, 0, 1, 23
424, 31, 177854, 0, 1, 24
420, 35, 178869, 0, 1, 25
417, 38, 179933, 0, 1, 26
414, 41, 181081, 0, 1, 27
410, 45, 182341, 0, 1, 28
407, 48, 183685, 0, 1, 29
403, 52, 185141, 0, 2, 30
401, 54, 186653, 0, 2, 32
398, 57, 188306, 0, 2, 34
395, 60, 189926, 0, 2, 36
391, 64, 191782, 0, 2, 38
388, 67, 193591, 0, 2, 40
385, 70, 195551, 0, 2, 42
382, 73, 197668, 0, 2, 44
379, 76, 199720, 0, 3, 46
376, 79, 202011, 0, 3, 49
373, 82, 204307, 0, 3, 52
371, 84, 206575, 0, 3, 55
368, 87, 209098, 0, 3, 58
365, 90, 211618, 0, 3, 61
363, 92, 214194, 0, 3, 64
360, 95, 216854, 0, 3, 67
358, 97, 219667, 0, 3, 70
356, 99, 222340, 0, 3, 73
354, 101, 225168, 0, 4, 76
352, 103, 228258, 0, 4, 80
351, 104, 231170, 0, 4, 84
350, 105, 234320, 0, 4, 88
349, 106, 237394, 0, 4, 92
348, 107, 240497, 0, 4, 96
348, 107, 243600, 0, 4, 100
348, 107, 246917, 0, 4, 104
347, 108, 250157, 0, 4, 108
348, 107, 253260, 148102320, 2962050, 112
351, 104, 257940, 95443717, 1908878, 242
387, 68, 260932, 97612892, 1952260, 384
447, 8, 261268, 102261124, 2045222, 388
475, -20, 260408, 99882959, 1997658, 170
446, 9, 260804, 0, 0, 4
431, 24, 261428, 0, 0, 4
427, 28, 262184, 0, 1, 4
424, 31, 263021, 0, 1, 5
420, 35, 263966, 0, 1, 6
417, 38, 265030, 0, 1, 7
414, 41, 266096, 0, 1, 8
411, 44, 267328, 0, 1, 9
407, 48, 268576, 0, 1, 10
404, 51, 270004, 0, 2, 11
401, 54, 271570, 0, 2, 13
398, 57, 273109, 0, 2, 15
395, 60, 274849, 0, 2, 17
391, 64, 276641, 0, 2, 19
388, 67, 278450, 0, 2, 21
386, 69, 280451, 0, 2, 23
382, 73, 282495, 0, 2, 25
379, 76, 284623, 0, 3, 27
376, 79, 286835, 0, 3, 30
373, 82, 289213, 0, 3, 33
370, 85, 291508, 0, 3, 36
367, 88, 293972, 0, 3, 39
365, 90, 296582, 0, 3, 42
362, 93, 299093, 0, 3, 45
359, 96, 301877, 0, 3, 48
357, 98, 304621, 0, 3, 51
354, 101, 307449, 0, 4, 54
351, 104, 310465, 0, 4, 58
349, 106, 313539, 0, 4, 62
346, 109, 316700, 0, 4, 66
344, 111, 319919, 0, 4, 70
342, 113, 323309, 0, 4, 74
340, 115, 326529, 0, 4, 78
339, 116, 330009, 0, 4, 82
338, 117, 333402, 0, 4, 86
337, 118, 336706, 0, 4, 90
337, 118, 340246, 0, 4, 94
336, 119, 343697, 0, 4, 98
336, 119, 347148, 0, 4, 102
336, 119, 350718, 0, 4, 106
337, 118, 354376, 138547332, 2770951, 110
327, 128, 360008, 0, 5, 117
340, 115, 363573, 138547331, 2770951, 122
346, 109, 368369, 97612892, 1952262, 129
350, 105, 372989, 97612893, 1952262, 135
355, 100, 377389, 97612892, 1952261, 141
360, 95, 381474, 99882960, 1997662, 146
363, 92, 385430, 99882960, 1997662, 496
438, 17, 386161, 99882958, 1997659, 334
444, 11, 386623, 102261125, 2045223, 169
426, 29, 387899, 0, 1, 464
490, -35, 386919, 153391686, 3067832, 465
509, -54, 384489, 95443717, 1908872, 393
524, -69, 381384, 95443717, 1908871, 17
473, -18, 380646, 1, 0, 152
485, -30, 379716, 138547331, 2770945, 152
483, -28, 378456, 0, -1, 153
483, -28, 377588, 0, -1, 152
483, -28, 376720, 0, -1, 151
483, -28, 375852, 0, -1, 150
483, -28, 374984, 0, -1, 149
482, -27, 374120, 0, -1, 148
482, -27, 373283, 0, -1, 147
482, -27, 372446, 0, -1, 146
481, -26, 371640, 0, -1, 145
481, -26, 370808, 0, -1, 144
480, -25, 370033, 0, -1, 143
480, -25, 369258, 0, -1, 142
479, -24, 368514, 0, 0, 141
481, -26, 367708, 138547332, 2770945, 141
478, -23, 366696, 0, 0, 142
480, -25, 365946, 143165576, 2863310, 142
477, -22, 364956, 0, 0, 348
522, -67, 362946, 143165575, 2863308, 348
540, -85, 359121, 95443717, 1908871, 40
502, -47, 357147, 0, -1, 175
514, -59, 355259, 134217727, 2684352, 174
513, -58, 352707, 0, -2, 110
503, -48, 351171, 0, -1, 108
500, -45, 349776, 0, -1, 107
496, 
