--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
 voltage, error, delta_t, cum_error, rate_error, correction, OCR1A
16, 439, 10, 4390, 43, 18, 16
20, 435, 21, 13525, 204522252, 4090462, 34
34, 421, 47, 33312, 91382282, 1827662, 128
96, 359, 46, 49826, 93368852, 1867391, 462
186, 269, 45, 61931, 95443715, 1908885, 77
154, 301, 46, 75777, 0, 12, 226
211, 244, 34, 84073, 126322565, 2526461, 238
256, 199, 48, 93625, 89478484, 1789577, 491
306, 149, 47, 100628, 91382281, 1827651, 116
266, 189, 48, 109700, 0, 7, 439
327, 128, 34, 114052, 126322565, 2526456, 446
350, 105, 49, 119197, 87652393, 1753052, 182
327, 128, 48, 125341, 0, 5, 146
329, 126, 34, 129625, 126322567, 2526456, 151
335, 120, 49, 135505, 87652393, 1753052, 399
393, 62, 48, 138481, 89478484, 1789572, 363
418, 37, 46, 140183, 93368853, 1867378, 495
441, 14, 47, 140841, 91382282, 1827646, 97
387, 68, 46, 143969, 1, 2, 415
447, 8, 33, 144233, 130150522, 2603010, 417
458, -3, 47, 144092, 91382282, 1827645, 419
469, -14, 47, 143434, 91382282, 1827645, 224
451, 4, 47, 143622, 0, 0, 29
429, 26, 32, 144454, 0, 1, 29
424, 31, 32, 145446, 0, 1, 30
421, 34, 33, 146568, 0, 1, 31
417, 38, 31, 147746, 0, 1, 32
413, 42, 33, 149132, 0, 1, 33
409, 46, 32, 150604, 0, 1, 34
405, 50, 33, 152254, 0, 2, 35
402, 53, 31, 153897, 0, 2, 37
397, 58, 33, 155811, 0, 2, 39
393, 62, 32, 157795, 0, 2, 41
390, 65, 33, 159940, 0, 2, 43
387, 68, 31, 162048, 0, 2, 45
383, 72, 33, 164424, 0, 2, 47
379, 76, 32, 166856, 0, 3, 49
376, 79, 32, 169384, 0, 3, 52
372, 83, 32, 172040, 0, 3, 55
369, 86, 32, 174792, 0, 3, 58
366, 89, 33, 177729, 0, 3, 61
363, 92, 32, 180673, 0, 3, 64
361, 94, 32, 183681, 0, 3, 67
358, 97, 32, 186785, 0, 3, 70
356, 99, 33, 190052, 0, 3, 73
353, 102, 32, 193316, 0, 4, 76
351, 104, 34, 196852, 0, 4, 80
350, 105, 32, 200212, 0, 4, 84
348, 107, 34, 203850, 0, 4, 88
347, 108, 33, 207414, 0, 4, 92
346, 109, 34, 211120, 0, 4, 96
346, 109, 32, 214608, 0, 4, 100
347, 108, 35, 218388, 122713351, 2454271, 104
346, 109, 49, 223729, 0, 4, 359
407, 48, 34, 225361, 126322565, 2526453, 363
433, 22, 48, 226417, 89478484, 1789570, 96
394, 61, 46, 229223, 0, 2, 226
421, 34, 33, 230345, 130150523, 2603011, 228
436, 19, 48, 231257, 89478485, 1789570, 231
448, 7, 46, 231579, 93368854, 1867377, 361
490, -35, 46, 229969, 93368853, 1867375, 474
515, -60, 49, 227029, 87652393, 1753045, 73
453, 2, 47, 227123, 1, 0, 30
447, 8, 30, 227363, 0, 0, 30
443, 12, 31, 227735, 0, 0, 30
439, 16, 33, 228263, 0, 0, 30
435, 20, 32, 228903, 0, 0, 30
431, 24, 32, 229671, 0, 0, 30
427, 28, 32, 230567, 0, 1, 30
423, 32, 33, 231623, 0, 1, 31
420, 35, 32, 232743, 0, 1, 32
416, 39, 32, 233991, 0, 1, 33
412, 43, 32, 235367, 0, 1, 34
408, 47, 33, 236918, 0, 1, 35
405, 50, 32, 238518, 0, 2, 36
401, 54, 32, 240246, 0, 2, 38
397, 58, 32, 242102, 0, 2, 40
394, 61, 33, 244115, 0, 2, 42
390, 65, 32, 246195, 0, 2, 44
387, 68, 32, 248371, 0, 2, 46
383, 72, 32, 250675, 0, 2, 48
380, 75, 33, 253150, 0, 3, 50
377, 78, 32, 255646, 0, 3, 53
373, 82, 33, 258352, 0, 3, 56
370, 85, 31, 260987, 0, 3, 59
367, 88, 33, 263891, 0, 3, 62
364, 91, 32, 266803, 0, 3, 65
361, 94, 33, 269905, 0, 3, 68
359, 96, 31, 272881, 0, 3, 71
356, 99, 33, 276148, 0, 3, 74
355, 100, 32, 279348, 0, 4, 77
353, 102, 34, 282816, 0, 4, 81
351, 104, 32, 286144, 0, 4, 85
350, 105, 34, 289714, 0, 4, 89
349, 106, 33, 293212, 0, 4, 93
348, 107, 34, 296850, 0, 4, 97
348, 107, 32, 300274, 0, 4, 101
348, 107, 35, 304019, 0, 4, 105
347, 108, 34, 307691, 0, 4, 109
349, 106, 35, 311401, 122713351, 2454271, 113
352, 103, 48, 316345, 89478485, 1789573, 368
416, 39, 48, 318217, 89478484, 1789571, 501
440, 15, 47, 318922, 91382282, 1827646, 120
393, 62, 46, 321774, 1, 2, 438
449, 6, 34, 321978, 126322565, 2526451, 440
461, -6, 47, 321696, 91382282, 1827645, 171
424, 31, 46, 323122, 0, 1, 488
473, -18, 34, 322510, 126322566, 2526450, 489
485, -30, 49, 321040, 87652393, 1753046, 219
458, -3, 47, 320899, 0, 0, 177
457, -2, 34, 320831, 0, 0, 177
460, -5, 33, 320666, 130150524, 2603010, 177
465, -10, 48, 320186, 89478485, 1789569, 179
470, -15, 48, 319466, 89478485, 1789569, 308
506, -51, 48, 317018, 89478484, 1789567, 437
545, -90, 47, 312788, 91382282, 1827641, 52
481, -26, 48, 311540, 1, -1, 365
535, -80, 34, 308820, 126322565, 2526448, 364
548, -93, 49, 304263, 87652393, 1753044, 92
507, -52, 48, 301767, 0, -2, 48
500, -45, 33, 300282, 0, -1, 46
495, -40, 35, 298882, 0, -1, 45
490, -35, 34, 297692, 0, -1, 44
485, -30, 35, 296642, 0, -1, 43
480, -25, 34, 295792, 0, -1, 42
475, -20, 34, 295112, 0, 0, 41
470, -15, 33, 294617, 0, 0, 41
466, -11, 34, 294243, 0, 0, 41
462, -7, 33, 294012, 0, 0, 41
458, -3, 32, 293916, 0, 0, 41
453, 2, 32, 293980, 0, 0, 41
449, 6, 32, 294172, 0, 0, 41
445, 10, 31, 294482, 0, 0, 41
442, 13, 32, 294898, 0, 0, 41
