--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
 voltage, error, delta_t, cum_error, rate_error, correction, OCR1A
437, 18, 32, 295474, 0, 0, 41
434, 21, 33, 296167, 0, 0, 41
429, 26, 32, 296999, 0, 1, 41
426, 29, 32, 297927, 0, 1, 42
422, 33, 32, 298983, 0, 1, 43
419, 36, 33, 300171, 0, 1, 44
415, 40, 32, 301451, 0, 1, 45
411, 44, 33, 302903, 0, 1, 46
408, 47, 31, 304360, 0, 1, 47
404, 51, 33, 306043, 0, 2, 48
401, 54, 32, 307771, 0, 2, 50
397, 58, 33, 309685, 0, 2, 52
393, 62, 31, 311607, 0, 2, 54
390, 65, 33, 313752, 0, 2, 56
386, 69, 32, 315960, 0, 2, 58
383, 72, 33, 318336, 0, 2, 60
380, 75, 31, 320661, 0, 3, 62
377, 78, 33, 323235, 0, 3, 65
374, 81, 32, 325827, 0, 3, 68
371, 84, 33, 328599, 0, 3, 71
369, 86, 31, 331265, 0, 3, 74
367, 88, 33, 334169, 0, 3, 77
365, 90, 32, 337049, 0, 3, 80
363, 92, 33, 340085, 0, 3, 83
361, 94, 31, 342999, 0, 3, 86
360, 95, 32, 346039, 0, 3, 89
359, 96, 33, 349207, 0, 3, 92
358, 97, 32, 352311, 0, 3, 95
358, 97, 32, 355415, 0, 3, 98
357, 98, 32, 358551, 0, 3, 101
356, 99, 34, 361917, 0, 3, 104
356, 99, 33, 365184, 0, 3, 107
357, 98, 33, 368418, 130150524, 2603014, 110
358, 97, 49, 373171, 87652393, 1753051, 116
360, 95, 46, 377541, 93368854, 1867380, 79
355, 100, 46, 382141, 0, 4, 195
376, 79, 35, 384906, 122713350, 2454270, 199
390, 65, 47, 387961, 91382282, 1827648, 453
441, 14, 47, 388619, 91382281, 1827646, 261
432, 23, 47, 389700, 0, 0, 67
407, 48, 32, 391236, 0, 1, 67
403, 52, 32, 392900, 0, 2, 68
400, 55, 32, 394660, 0, 2, 70
397, 58, 33, 396574, 0, 2, 72
394, 61, 32, 398526, 0, 2, 74
391, 64, 32, 400574, 0, 2, 76
388, 67, 32, 402718, 0, 2, 78
386, 69, 33, 404995, 0, 2, 80
383, 72, 32, 407299, 0, 2, 82
381, 74, 32, 409667, 0, 2, 84
379, 76, 32, 412099, 0, 3, 86
377, 78, 32, 414595, 0, 3, 89
376, 79, 33, 417202, 0, 3, 92
374, 81, 31, 419713, 0, 3, 95
374, 81, 33, 422386, 0, 3, 98
372, 83, 32, 425042, 0, 3, 101
372, 83, 34, 427864, 0, 3, 104
372, 83, 33, 430603, 0, 3, 107
372, 83, 33, 433342, 0, 3, 110
372, 83, 33, 436081, 0, 3, 113
372, 83, 34, 438903, 0, 3, 116
373, 82, 33, 441609, 130150524, 2603013, 119
374, 81, 48, 445497, 89478485, 1789573, 124
378, 77, 47, 449116, 91382282, 1827648, 257
415, 40, 47, 450996, 91382282, 1827647, 65
389, 66, 45, 453966, 0, 2, 384
451, 4, 34, 454102, 126322565, 2526451, 386
453, 2, 46, 454194, 93368854, 1867377, 117
425, 30, 46, 455574, 0, 1, 230
448, 7, 34, 455812, 126322566, 2526451, 231
459, -4, 46, 455628, 93368854, 1867377, 474
504, -49, 47, 453325, 91382281, 1827643, 75
446, 9, 47, 453748, 1, 0, 390
503, -48, 32, 452212, 134217726, 2684352, 390
520, -65, 49, 449027, 87652393, 1753045, 326
523, -68, 48, 445763, 89478485, 1789567, 283
531, -76, 47, 442191, 91382282, 1827642, 410
571, -116, 48, 436623, 89478484, 1789564, 212
540, -85, 49, 432458, 0, -3, 336
572, -117, 35, 428363, 122713350, 2454262, 333
587, -132, 50, 421763, 85899345, 1717981, 67
550, -95, 49, 417108, 0, -3, 288
583, -128, 34, 412756, 126322566, 2526446, 285
592, -137, 51, 405769, 84215044, 1684295, 11
562, -107, 48, 400633, 0, -4, 338
606, -151, 36, 395197, 119304645, 2386087, 334
621, -166, 50, 386897, 85899345, 1717980, 501
648, -193, 49, 377440, 87652393, 1753040, 209
608, -153, 49, 369943, 0, -6, 161
604, -149, 36, 364579, 0, -5, 155
599, -144, 37, 359251, 0, -5, 150
597, -142, 36, 354139, 0, -5, 145
592, -137, 36, 349207, 0, -5, 140
590, -135, 36, 344347, 0, -5, 135
584, -129, 37, 339574, 0, -5, 130
581, -126, 36, 335038, 0, -5, 125
575, -120, 37, 330598, 0, -4, 120
569, -114, 37, 326380, 0, -4, 116
565, -110, 36, 322420, 0, -4, 112
560, -105, 36, 318640, 0, -4, 108
555, -100, 36, 315040, 0, -4, 104
551, -96, 37, 311488, 0, -3, 100
546, -91, 35, 308303, 0, -3, 97
541, -86, 35, 305293, 0, -3, 94
536, -81, 34, 302539, 0, -3, 91
531, -76, 34, 299955, 0, -3, 88
526, -71, 34, 297541, 0, -2, 85
521, -66, 35, 295231, 0, -2, 83
517, -62, 34, 293123, 0, -2, 81
512, -57, 35, 291128, 0, -2, 79
507, -52, 33, 289412, 0, -2, 77
502, -47, 35, 287767, 0, -1, 75
497, -42, 34, 286339, 0, -1, 74
493, -38, 35, 285009, 0, -1, 73
488, -33, 34, 283887, 0, -1, 72
484, -29, 34, 282901, 0, -1, 71
479, -24, 34, 282085, 0, 0, 70
475, -20, 34, 281405, 0, 0, 70
471, -16, 33, 280877, 0, 0, 70
466, -11, 34, 280503, 0, 0, 70
462, -7, 32, 280279, 0, 0, 70
458, -3, 33, 280180, 0, 0, 70
454, 1, 32, 280212, 0, 0, 70
451, 4, 32, 280340, 0, 0, 70
447, 8, 30, 280580, 0, 0, 70
443, 12, 32, 280964, 0, 0, 70
439, 16, 32, 281476, 0, 0, 70
436, 19, 33, 282103, 0, 0, 70
432, 23, 31, 282816, 0, 0, 70
429, 26, 33, 283674, 0, 1, 70
425, 30, 32, 284634, 0, 1, 71
422, 33, 33, 285723, 0, 1, 72
419, 36, 31, 286839, 0, 1, 73
416, 39, 33, 288126, 0, 1, 74
412, 43, 32, 289502, 0, 1, 75
410, 45, 33, 290987, 0, 1, 76
407, 48, 31, 292475, 0, 1, 77
404, 51, 33, 294158, 0, 2, 78
401, 54, 32, 295886, 0, 2, 80
399, 56, 33, 297734, 0, 2, 82
396, 59, 31, 299563, 0, 2, 84
394, 61, 33, 301576, 0, 2, 86
392, 63, 32, 303592, 0, 2, 88
390, 65, 33, 305737, 0, 2, 90
388, 67, 31, 307814, 0, 2, 92
386, 69, 33, 310091, 0, 2, 94
385, 70, 32, 312331, 0, 2, 96
384, 71, 32, 314603, 0, 2, 98
383, 72, 32, 316907, 0, 2, 100
382, 73, 33, 319316, 0, 2, 102
381, 74, 34, 321832, 0, 2, 104
381, 74, 33, 324274, 0, 2, 106
380, 75, 34, 326824, 0, 3, 108
380, 75, 32, 329224, 0, 3, 111
380, 75, 34, 331774, 0, 3, 114
380, 75, 33, 334249, 0, 3, 117
381, 74, 34, 336765, 126322567, 2526454, 120
382, 73, 48, 340269, 89478485, 1789572, 366
445, 10, 46, 340729, 93368852, 1867377, 498
468, -13, 47, 340118, 91382282, 1827645, 99
415, 40, 47, 341998, 1, 1, 416
471, -16, 33, 341470, 130150522, 2603009, 417
487, -32, 49, 339902, 87652393, 1753046, 418
500, -45, 48, 337742, 89478485, 1789568, 376
512, -57, 47, 335063, 91382282, 1827643, 504
528, -73, 48, 331559, 89478485, 1789566, 307
519, -64, 48, 328487, 0, -2, 433
556, -101, 35, 324952, 122713350, 2454263, 431
562, -107, 50, 319602, 85899345, 1717982, 166
517, -62, 50, 316502, 0, -2, 388
562, -107, 34, 312864, 126322566, 2526447, 386
573, -118, 51, 306846, 84215044, 1684296, 113
524, -69, 49, 303465, 1, -2, 441
585, -130, 35, 298915, 122713349, 2454261, 439
590, -135, 50, 292165, 85899345, 1717981, 172
544, -89, 49, 287804, 0, -3, 393
590, -135, 35, 283079, 122713350, 2454261, 390
598, -143, 50, 275929, 85899345, 1717981, 123
546, -91, 49, 271470, 1, -3, 344
589, -134, 36, 266646, 119304645, 2386087, 341
606, -151, 49, 259247, 87652393, 1753041, 508
637, -182, 49, 250329, 87652393, 1753040, 461
636, -181, 49, 241460, 0, -7, 413
639, -184, 36, 234836, 119304647, 2386085, 406
635, -180, 50, 225836, 0, -7, 59
579, -124, 36, 221372, 1, -4, 52
572, -117, 35, 217277, 0, -4, 48
566, -111, 36, 213281, 0, -4, 44
560, -105, 35, 209606, 0, -4, 40
555, -100, 36, 206006, 0, -4, 36
549, -94, 34, 202810, 0, -3, 32
544, -89, 35, 199695, 0, -3, 29
539, -84, 34, 196839, 0, -3, 26
533, -78, 35, 194109, 0, -3, 23
527, -72, 34, 191661, 0, -2, 20
523, -68, 34, 189349, 0, -2, 18
518, -63, 34, 187207, 0, -2, 16
513, -58, 35, 185177, 0, -2, 14
507, -52, 34, 183409, 0, -2, 12
503, -48, 35, 181729, 0, -1, 10
498, -43, 33, 180310, 0, -1, 9
493, -38, 34, 179018, 0, -1, 8
489, -34, 33, 177896, 0, -1, 7
484, -29, 34, 176910, 0, -1, 6
480, -25, 32, 176110, 0, -1, 5
475, -20, 34, 175430, 0, 0, 4
471, -16, 32, 174918, 0, 0, 4
467, -12, 33, 174522, 0, 0, 4
463, -8, 32, 174266, 0, 0, 4
458, -3, 31, 174173, 0, 0, 4
455, 0, 31, 174173, 0, 0, 4
451, 4, 31, 174297, 0, 0, 4
447, 8, 29, 174529, 0, 0, 4
443, 12, 31, 174901, 0, 0, 4
439, 16, 31, 175397, 0, 0, 4
436, 19, 32, 176005, 0, 0, 4
432, 23, 30, 176695, 0, 0, 4
428, 27, 31, 177532, 0, 1, 4
425, 30, 32, 178492, 0, 1, 5
421, 34, 31, 179546, 0, 1, 6
417, 38, 31, 180724, 0, 1, 7
414, 41, 31, 181995, 0, 1, 8
410, 45, 32, 183435, 0, 1, 9
406, 49, 30, 184905, 0, 1, 10
403, 52, 33, 186621, 0, 2, 11
400, 55, 32, 188381, 0, 2, 13
396, 59, 33, 190328, 0, 2, 15
393, 62, 31, 192250, 0, 2, 17
389, 66, 33, 194428, 0, 2, 19
385, 70, 32, 196668, 0, 2, 21
382, 73, 33, 199077, 0, 2, 23
379, 76, 31, 201433, 0, 3, 25
375, 80, 33, 204073, 0, 3, 28
372, 83, 32, 206729, 0, 3, 31
369, 86, 33, 209567, 0, 3, 34
366, 89, 32, 212415, 0, 3, 37
363, 92, 32, 215359, 0, 3, 40
360, 95, 32, 218399, 0, 3, 43
356, 99, 33, 221666, 0, 3, 46
353, 102, 32, 224930, 0, 4, 49
351, 104, 33, 228362, 0, 4, 53
346, 109, 33, 231959, 0, 4, 57
344, 111, 34, 235733, 0, 4, 61
342, 113, 33, 239462, 0, 4, 65
340, 115, 33, 243257, 0, 4, 69
337, 118, 33, 247151, 0, 4, 73
336, 119, 34, 251197, 0, 4, 77
335, 120, 33, 255157, 0, 4, 81
333, 122, 34, 259305, 0, 4, 85
333, 122, 32, 263209, 0, 4, 89
332, 123, 34, 267391, 0, 4, 93
332, 123, 33, 271450, 0, 4, 97
333, 122, 34, 275598, 126322567, 2526456, 101
332, 123, 48, 281502, 0, 4, 349
396, 59, 35, 283567, 122713349, 2454269, 353
427, 28, 48, 284911, 89478484, 1789570, 94
392, 63, 45, 287746, 0, 2, 224
417, 38, 34, 289038, 126322566, 2526452, 226
432, 23, 47, 290119, 91382282, 1827646, 470
480, -25, 47, 288944, 91382281, 1827644, 276
467, -12, 48, 288368, 0, 0, 80
442, 13, 33, 288797, 0, 0, 80
439, 16, 32, 289309, 0, 0, 80
435, 20, 32, 289949, 0, 0, 80
432, 23, 33, 290708, 0, 0, 80
429, 26, 32, 291540, 0, 1, 80
425, 30, 33, 292530, 0, 1, 81
422, 33, 31, 293553, 0, 1, 82
419, 36, 33, 294741, 0, 1, 83
416, 39, 32, 295989, 0, 1, 84
414, 41, 33, 297342, 0, 1, 85
411, 44, 31, 298706, 0, 1, 86
409, 46, 33, 300224, 0, 1, 87
406, 49, 32, 301792, 0, 1, 88
404, 51, 33, 303475, 0, 2, 89
402, 53, 31, 305118, 0, 2, 91
400, 55, 33, 306933, 0, 2, 93
398, 57, 32, 308757, 0, 2, 95
397, 58, 33, 310671, 0, 2, 97
395, 60, 31, 312531, 0, 2, 99
394, 61, 33, 314544, 0, 2, 101
393, 62, 33, 316590, 0, 2, 103
392, 63, 34, 318732, 0, 2, 105
391, 64, 32, 320780, 0, 2, 107
389, 66, 34, 323024, 0, 2, 109
396, 59, 33, 324971, 130150523, 2603012, 111
394, 61, 48, 327899, 0, 2, 115
378, 77, 33, 330440, 0, 3, 117
392, 63, 34, 332582, 126322567, 2526453, 120
392, 63, 47, 335543, 0, 2, 365
446, 9, 34, 335849, 126322565, 2526451, 367
462, -7, 47, 335520, 91382282, 1827645, 98
426, 29, 45, 336825, 0, 1, 415
485, -30, 34, 335805, 126322565, 2526450, 416
497, -42, 49, 333747, 87652393, 1753046, 146
456, -1, 47, 333700, 0, 0, 104
449, 6, 34, 333904, 0, 0, 104
446, 9, 31, 334183, 0, 0, 104
445, 10, 33, 334513, 0, 0, 104
442, 13, 33, 334942, 0, 0, 104
440, 15, 34, 335452, 0, 0, 104
438, 17, 32, 335996, 0, 0, 104
436, 19, 34, 336642, 0, 0, 104
434, 21, 33, 337335, 0, 0, 104
432, 23, 34, 338117, 0, 0, 104
430, 25, 33, 338942, 0, 1, 104
428, 27, 33, 339833, 0, 1, 105
426, 29, 33, 340790, 0, 1, 106
424, 31, 34, 341844, 0, 1, 107
423, 32, 33, 342900, 0, 1, 108
421, 34, 33, 344022, 0, 1, 109
418, 37, 33, 345243, 0, 1, 110
423, 32, 34, 346331, 126322567, 2526452, 111
421, 34, 48, 347963, 0, 1, 355
472, -17, 33, 347402, 130150522, 2603009, 356
496, -41, 49, 345393, 87652393, 1753046, 357
517, -62, 47, 342479, 91382282, 1827643, 315
528, -73, 48, 338975, 89478485, 1789566, 118
500, -45, 48, 336815, 0, -1, 244
521, -66, 35, 334505, 122713350, 2454264, 243
534, -79, 49, 330634, 87652393, 1753044, 491
577, -122, 48, 324778, 89478484, 1789564, 447
586, -131, 50, 318228, 85899345, 1717981, 59
519, -64, 47, 315220, 1, -2, 280
552, -97, 36, 311728, 119304646, 2386089, 278
567, -112, 49, 306240, 87652393, 1753043, 447
608, -153, 48, 298896, 89478484, 1789563, 402
605, -150, 49, 291546, 0, -6, 13
550, -95, 36, 288126, 1, -3, 7
544, -89, 33, 285189, 0, -3, 4
539, -84, 33, 282417, 0, -3, 1
536, -81, 33, 279744, 0, -3, 510
604, -149, 36, 274380, 119304645, 2386087, 507
593, -138, 49, 267618, 0, -5, 162
544, -89, 37, 264325, 1, -3, 157
543, -88, 35, 261245, 0, -3, 154
542, -87, 36, 258113, 0, -3, 151
540, -85, 36, 255053, 0, -3, 148
538, -83, 34, 252231, 0, -3, 145
536, -81, 36, 249315, 0, -3, 142
534, -79, 35, 246550, 0, -3, 139
532, -77, 36, 243778, 0, -3, 136
530, -75, 35, 241153, 0, -3, 133
527, -72, 36, 238561, 0, -2, 130
524, -69, 34, 236215, 0, -2, 128
522, -67, 36, 233803, 0, -2, 126
519, -64, 35, 231563, 0, -2, 124
516, -61, 36, 229367, 0, -2, 122
513, -58, 35, 227337, 0, -2, 120
510, -55, 35, 225412, 0, -2, 118
507, -52, 35, 223592, 0, -2, 116
504, -49, 36, 221828, 0, -1, 114
501, -46, 36, 220172, 0, -1, 113
498, -43, 35, 218667, 0, -1, 112
495, -40, 36, 217227, 0, -1, 111
492, -37, 34, 215969, 0, -1, 110
489, -34, 36, 214745, 0, -1, 109
486, -31, 35, 213660, 0, -1, 108
483, -28, 36, 212652, 0, -1, 107
480, -25, 35, 211777, 0, -1, 106
477, -22, 36, 210985, 0, 0, 105
474, -19, 33, 210358, 0, 0, 105
471, -16, 35, 209798, 0, 0, 105
469, -14, 34, 209322, 0, 0, 105
466, -11, 35, 208937, 0, 0, 105
464, -9, 34, 208631, 0, 0, 105
461, -6, 33, 208433, 0, 0, 105
459, -4, 33, 208301, 0, 0, 105
456, -1, 34, 208267, 0, 0, 105
454, 1, 33, 208300, 0, 0, 105
451, 4, 32, 208428, 0, 0, 105
450, 5, 32, 208588, 0, 0, 105
447, 8, 33, 208852, 0, 0, 105
446, 9, 32, 209140, 0, 0, 105
443, 12, 33, 209536, 0, 0, 105
441, 14, 32, 209984, 0, 0, 105
439, 16, 34, 210528, 0, 0, 105
437, 18, 33, 211122, 0, 0, 105
435, 20, 34, 211802, 0, 0, 105
433, 22, 32, 212506, 0, 0, 105
431, 24, 34, 213322, 0, 0, 105
430, 25, 33, 214147, 0, 1, 105
428, 27, 34, 215065, 0, 1, 106
426, 29, 33, 216022, 0, 1, 107
425, 30, 33, 217012, 0, 1, 108
423, 32, 33, 218068, 0, 1, 109
422, 33, 34, 219190, 0, 1, 110
421, 34, 33, 220312, 0, 1, 111
420, 35, 33, 221467, 0, 1, 112
419, 36, 33, 222655, 0, 1, 113
418, 37, 34, 223913, 0, 1, 114
417, 38, 33, 225167, 0, 1, 115
417, 38, 34, 226459, 0, 1, 116
416, 39, 32, 
