--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
voltage, v_delta, correction
437, 18, 0, 232
437, 18, 0, 233
460, -5, 0, 234
437, 18, 0, 233
460, -5, 0, 234
438, 17, 0, 233
461, -6, 0, 234
438, 17, 0, 233
439, 16, 0, 234
461, -6, 0, 235
440, 15, 0, 234
462, -7, 0, 235
462, -7, 0, 234
439, 16, 0, 233
440, 15, 0, 234
462, -7, 0, 235
462, -7, 0, 234
462, -7, 0, 233
439, 16, 0, 232
438, 17, 0, 233
461, -6, 0, 234
461, -6, 0, 233
439, 16, 0, 232
437, 18, 0, 233
439, 16, 0, 234
441, 14, 0, 235
444, 11, 0, 236
463, -8, 0, 237
446, 9, 0, 236
464, -9, 0, 237
465, -10, 0, 236
445, 10, 0, 235
464, -9, 0, 236
465, -10, 0, 235
464, -9, 0, 234
464, -9, 0, 233
463, -8, 0, 232
461, -6, 0, 231
457, -2, 0, 230
456, -1, 0, 230
455, 0, 0, 230
455, 0, 0, 230
457, -2, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
455, 0, 0, 230
456, -1, 0, 230
455, 0, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
455, 0, 0, 230
455, 0, 0, 230
455, 0, 0, 230
453, 2, 0, 230
455, 0, 0, 230
455, 0, 0, 230
453, 2, 0, 230
453, 2, 0, 230
455, 0, 0, 230
455, 0, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
455, 0, 0, 230
453, 2, 0, 230
453, 2, 0, 230
455, 0, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
455, 0, 0, 230
453, 2, 0, 230
453, 2, 0, 230
455, 0, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
455, 0, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
455, 0, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
454, 1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
454, 1, 0, 230
453, 2, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
454, 1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
454, 1, 0, 230
453, 2, 0, 230
454, 1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
453, 2, 0, 230
453, 2, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
453, 2, 0, 230
454, 1, 0, 230
453, 2, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
454, 1, 0, 230
456, -1, 0, 230
454, 1, 0, 230
